Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1132327-annotations
Luxembourg,LUX,1996,148630830,
Luxembourg,LUX,1997,191932050,
Luxembourg,LUX,1998,235226160,
Luxembourg,LUX,1999,248591120,
Luxembourg,LUX,2000,284707070,
Luxembourg,LUX,2001,328425340,
Luxembourg,LUX,2002,325002900,
Luxembourg,LUX,2003,350370900,
Luxembourg,LUX,2004,375749860,
Luxembourg,LUX,2005,389928130,
Luxembourg,LUX,2006,411322080,
Luxembourg,LUX,2007,478020930,
Luxembourg,LUX,2008,470128800,
Luxembourg,LUX,2009,482398620,
Luxembourg,LUX,2010,470937920,
Luxembourg,LUX,2011,439255520,
Luxembourg,LUX,2012,451413980,
Luxembourg,LUX,2013,459296930,
Luxembourg,LUX,2014,439381700,
Luxembourg,LUX,2015,439802980,
Luxembourg,LUX,2016,482256930,
Luxembourg,LUX,2017,500934800,
Luxembourg,LUX,2018,524490980,
Luxembourg,LUX,2019,547538100,
Luxembourg,LUX,2020,493144220,
Luxembourg,LUX,2021,542163100,
Luxembourg,LUX,2022,564644600,
Luxembourg,LUX,2023,580310000,
Luxembourg,LUX,2024,578665340,
MAVA Foundation,,2013,34787656,
MAVA Foundation,,2014,27662134,
MAVA Foundation,,2015,17422324,
MAVA Foundation,,2016,15327310,
MAVA Foundation,,2017,81364400,
MAVA Foundation,,2018,66011376,
MAVA Foundation,,2019,45993440,
MAVA Foundation,,2020,77961656,
MAVA Foundation,,2021,79354740,
MAVA Foundation,,2022,61200164,
Malta,MLT,2009,15101829,
Malta,MLT,2010,15066388,
Malta,MLT,2011,20563668,
Malta,MLT,2012,19600614,
Malta,MLT,2013,19007272,
Malta,MLT,2014,21245040,
Malta,MLT,2015,19076120,
Malta,MLT,2016,23915346,
Malta,MLT,2017,28482788,
Malta,MLT,2018,36019396,
Malta,MLT,2019,45612116,
Malta,MLT,2020,57635544,
Malta,MLT,2021,53113110,
Malta,MLT,2022,63090370,
Malta,MLT,2023,65681336,
Malta,MLT,2024,62492190,
Margaret A. Cargill Foundation,,2016,63927068,
Margaret A. Cargill Foundation,,2017,57268852,
Margaret A. Cargill Foundation,,2018,57438590,
Margaret A. Cargill Foundation,,2019,51941540,
Margaret A. Cargill Foundation,,2020,48857748,
Margaret A. Cargill Foundation,,2021,55200540,
Margaret A. Cargill Foundation,,2022,55514756,
Margaret A. Cargill Foundation,,2023,51150000,
Mastercard Foundation,,2017,340823170,
Mastercard Foundation,,2018,305335550,
Mastercard Foundation,,2019,348910820,
Mastercard Foundation,,2020,1018667200,
Mastercard Foundation,,2021,1341269800,
Mastercard Foundation,,2022,1135570800,
Mastercard Foundation,,2023,1264027600,
McKnight Foundation,,2018,11097836,
McKnight Foundation,,2019,10291835,
McKnight Foundation,,2020,4548076,
MetLife Foundation,,2013,11276159,
MetLife Foundation,,2014,21405782,
MetLife Foundation,,2015,19994366,
MetLife Foundation,,2016,22074894,
MetLife Foundation,,2017,20319340,
MetLife Foundation,,2018,13759687,
MetLife Foundation,,2019,16510983,
MetLife Foundation,,2020,1602677,
Michael & Susan Dell Foundation,,2016,29507726,
Michael & Susan Dell Foundation,,2017,37975596,
Michael & Susan Dell Foundation,,2018,37384572,
Michael & Susan Dell Foundation,,2019,41342404,
Michael & Susan Dell Foundation,,2020,69482420,
Michael & Susan Dell Foundation,,2021,48092508,
Michael & Susan Dell Foundation,,2022,48765740,
Michael & Susan Dell Foundation,,2023,46359444,
Michael & Susan Dell Foundation,,2024,53939796,
Monaco,MCO,2021,24553164,
Monaco,MCO,2022,25773380,
Monaco,MCO,2023,25903366,
Monaco,MCO,2024,27534202,
Montreal Protocol,,1997,60131884,
Montreal Protocol,,1998,223052210,
Montreal Protocol,,1999,63216220,
Montreal Protocol,,2000,84009464,
Montreal Protocol,,2001,113956824,
Montreal Protocol,,2002,92485064,
Montreal Protocol,,2003,91137144,
Montreal Protocol,,2004,75327610,
Montreal Protocol,,2005,102357896,
Montreal Protocol,,2006,97033330,
Montreal Protocol,,2007,105138500,
Montreal Protocol,,2008,80345850,
Montreal Protocol,,2009,32376820,
Montreal Protocol,,2010,22381230,
Montreal Protocol,,2011,8283162,
Montreal Protocol,,2012,5126964,
Montreal Protocol,,2013,38753600,
Montreal Protocol,,2014,46622508,
Montreal Protocol,,2015,52180296,
Multilateral organizations,,1960,759994200,e.g. World Bank and UN agencies
Multilateral organizations,,1961,1137239600,e.g. World Bank and UN agencies
Multilateral organizations,,1962,1678536300,e.g. World Bank and UN agencies
Multilateral organizations,,1963,2637761000,e.g. World Bank and UN agencies
Multilateral organizations,,1964,3360750300,e.g. World Bank and UN agencies
Multilateral organizations,,1965,4615415300,e.g. World Bank and UN agencies
Multilateral organizations,,1966,4876142000,e.g. World Bank and UN agencies
Multilateral organizations,,1967,5338008000,e.g. World Bank and UN agencies
Multilateral organizations,,1968,4180514000,e.g. World Bank and UN agencies
Multilateral organizations,,1969,5314054000,e.g. World Bank and UN agencies
Multilateral organizations,,1970,1625442200,e.g. World Bank and UN agencies
Multilateral organizations,,1971,1867751000,e.g. World Bank and UN agencies
Multilateral organizations,,1972,1675282800,e.g. World Bank and UN agencies
Multilateral organizations,,1973,2347349200,e.g. World Bank and UN agencies
Multilateral organizations,,1974,3206805200,e.g. World Bank and UN agencies
Multilateral organizations,,1975,3272315600,e.g. World Bank and UN agencies
Multilateral organizations,,1976,2459554600,e.g. World Bank and UN agencies
Multilateral organizations,,1977,2413473500,e.g. World Bank and UN agencies
Multilateral organizations,,1978,2924122400,e.g. World Bank and UN agencies
Multilateral organizations,,1979,4032416800,e.g. World Bank and UN agencies
Multilateral organizations,,1980,3590091300,e.g. World Bank and UN agencies
Multilateral organizations,,1981,5290078000,e.g. World Bank and UN agencies
Multilateral organizations,,1982,4375015400,e.g. World Bank and UN agencies
Multilateral organizations,,1983,4618407000,e.g. World Bank and UN agencies
Multilateral organizations,,1984,5226456600,e.g. World Bank and UN agencies
Multilateral organizations,,1985,5257027000,e.g. World Bank and UN agencies
Multilateral organizations,,1986,4877521000,e.g. World Bank and UN agencies
Multilateral organizations,,1987,4147730000,e.g. World Bank and UN agencies
Multilateral organizations,,1988,5839305000,e.g. World Bank and UN agencies
Multilateral organizations,,1989,5551385000,e.g. World Bank and UN agencies
Multilateral organizations,,1990,4899522600,e.g. World Bank and UN agencies
Multilateral organizations,,1991,6440301600,e.g. World Bank and UN agencies
Multilateral organizations,,1992,6920258600,e.g. World Bank and UN agencies
Multilateral organizations,,1993,6505278500,e.g. World Bank and UN agencies
Multilateral organizations,,1994,7597047300,e.g. World Bank and UN agencies
Multilateral organizations,,1995,7533197300,e.g. World Bank and UN agencies
Multilateral organizations,,1996,7693748000,e.g. World Bank and UN agencies
Multilateral organizations,,1997,8193682400,e.g. World Bank and UN agencies
Multilateral organizations,,1998,7981201400,e.g. World Bank and UN agencies
Multilateral organizations,,1999,7959516000,e.g. World Bank and UN agencies
Multilateral organizations,,2000,9028361000,e.g. World Bank and UN agencies
Multilateral organizations,,2001,10996374000,e.g. World Bank and UN agencies
Multilateral organizations,,2002,9317628000,e.g. World Bank and UN agencies
Multilateral organizations,,2003,10011775000,e.g. World Bank and UN agencies
Multilateral organizations,,2004,10835730000,e.g. World Bank and UN agencies
Multilateral organizations,,2005,11468496000,e.g. World Bank and UN agencies
Multilateral organizations,,2006,12147557000,e.g. World Bank and UN agencies
Multilateral organizations,,2007,12349065000,e.g. World Bank and UN agencies
Multilateral organizations,,2008,13031892000,e.g. World Bank and UN agencies
Multilateral organizations,,2009,13750730000,e.g. World Bank and UN agencies
Multilateral organizations,,2010,13471406000,e.g. World Bank and UN agencies
Multilateral organizations,,2011,17314148000,e.g. World Bank and UN agencies
Multilateral organizations,,2012,18589374000,e.g. World Bank and UN agencies
Multilateral organizations,,2013,16152812000,e.g. World Bank and UN agencies
Multilateral organizations,,2014,16584242000,e.g. World Bank and UN agencies
Multilateral organizations,,2015,16256618000,e.g. World Bank and UN agencies
Multilateral organizations,,2016,20225784000,e.g. World Bank and UN agencies
Multilateral organizations,,2017,18857808000,e.g. World Bank and UN agencies
Multilateral organizations,,2018,18471115000,e.g. World Bank and UN agencies
Multilateral organizations,,2019,17083057000,e.g. World Bank and UN agencies
Multilateral organizations,,2020,22715177000,e.g. World Bank and UN agencies
Multilateral organizations,,2021,21007970000,e.g. World Bank and UN agencies
Multilateral organizations,,2022,29585222000,e.g. World Bank and UN agencies
Multilateral organizations,,2023,37544230000,e.g. World Bank and UN agencies
Multilateral organizations,,2024,35228760000,e.g. World Bank and UN agencies
Netherlands,NLD,1960,569200700,
Netherlands,NLD,1961,847559200,
Netherlands,NLD,1962,945108100,
Netherlands,NLD,1963,524538340,
Netherlands,NLD,1964,628270000,
Netherlands,NLD,1965,838734800,
Netherlands,NLD,1966,1075185000,
Netherlands,NLD,1967,1244070700,
Netherlands,NLD,1968,1305932900,
Netherlands,NLD,1969,1414649600,
Netherlands,NLD,1970,1824852400,
Netherlands,NLD,1971,1796238600,
Netherlands,NLD,1972,2139223200,
Netherlands,NLD,1973,1794522800,
Netherlands,NLD,1974,2140844000,
Netherlands,NLD,1975,2550670000,
Netherlands,NLD,1976,2930047200,
Netherlands,NLD,1977,3176845000,
Netherlands,NLD,1978,3145783300,
Netherlands,NLD,1979,3842437400,
Netherlands,NLD,1980,3995932200,
Netherlands,NLD,1981,4408147500,
Netherlands,NLD,1982,4362427000,
Netherlands,NLD,1983,3708210700,
Netherlands,NLD,1984,4361469000,
Netherlands,NLD,1985,3974445800,
Netherlands,NLD,1986,4485436400,
Netherlands,NLD,1987,4494914600,
Netherlands,NLD,1988,4611613700,
Netherlands,NLD,1989,4580636700,
Netherlands,NLD,1990,4694509000,
Netherlands,NLD,1991,4635436000,
Netherlands,NLD,1992,4653002000,
Netherlands,NLD,1993,4437612000,
Netherlands,NLD,1994,4245020000,
Netherlands,NLD,1995,4702730000,
Netherlands,NLD,1996,4908970500,
Netherlands,NLD,1997,5022413000,
Netherlands,NLD,1998,5164321000,
Netherlands,NLD,1999,5473815600,
Netherlands,NLD,2000,6130360300,
Netherlands,NLD,2001,6118438400,
Netherlands,NLD,2002,5889991700,
Netherlands,NLD,2003,5717225000,
Netherlands,NLD,2004,5433544000,
Netherlands,NLD,2005,6481576000,
Netherlands,NLD,2006,6669325000,
Netherlands,NLD,2007,6841605000,
Netherlands,NLD,2008,7125022700,
Netherlands,NLD,2009,6752882000,
Netherlands,NLD,2010,6975692000,
Netherlands,NLD,2011,6614331000,
Netherlands,NLD,2012,6147348000,
Netherlands,NLD,2013,5789715500,
Netherlands,NLD,2014,5919789600,
Netherlands,NLD,2015,7209135000,
Netherlands,NLD,2016,6236031000,
Netherlands,NLD,2017,6020430300,
Netherlands,NLD,2018,6352955400,
Netherlands,NLD,2019,6085239000,
Netherlands,NLD,2020,5922888000,
Netherlands,NLD,2021,5487566000,
Netherlands,NLD,2022,7119555600,
Netherlands,NLD,2023,7266230000,
Netherlands,NLD,2024,7083848000,
New Zealand,NZL,1961,105510744,
New Zealand,NZL,1962,83119760,
New Zealand,NZL,1963,86356200,
New Zealand,NZL,1964,93671490,
New Zealand,NZL,1965,93771890,
New Zealand,NZL,1966,96218350,
New Zealand,NZL,1967,94861480,
New Zealand,NZL,1968,111387704,
New Zealand,NZL,1969,129596880,
New Zealand,NZL,1970,140828910,
New Zealand,NZL,1971,147483860,
New Zealand,NZL,1972,157444660,
New Zealand,NZL,1973,164951780,
New Zealand,NZL,1974,229854880,
New Zealand,NZL,1975,391942000,
New Zealand,NZL,1976,318424260,
New Zealand,NZL,1977,276448420,
New Zealand,NZL,1978,239219570,
New Zealand,NZL,1979,267857180,
New Zealand,NZL,1980,258668670,
New Zealand,NZL,1981,235301140,
New Zealand,NZL,1982,229365600,
New Zealand,NZL,1983,224684600,
New Zealand,NZL,1984,219049780,
New Zealand,NZL,1985,218832110,
New Zealand,NZL,1986,233134600,
New Zealand,NZL,1987,215333870,
New Zealand,NZL,1988,217908380,
New Zealand,NZL,1989,191186820,
New Zealand,NZL,1990,203278910,
New Zealand,NZL,1991,219215840,
New Zealand,NZL,1992,225018200,
New Zealand,NZL,1993,220358740,
New Zealand,NZL,1994,225021330,
New Zealand,NZL,1995,222408220,
New Zealand,NZL,1996,205059780,
New Zealand,NZL,1997,269323620,
New Zealand,NZL,1998,278135100,
New Zealand,NZL,1999,288725470,
New Zealand,NZL,2000,278019170,
New Zealand,NZL,2001,284054700,
New Zealand,NZL,2002,279610080,
New Zealand,NZL,2003,298793400,
New Zealand,NZL,2004,324391230,
New Zealand,NZL,2005,383881950,
New Zealand,NZL,2006,384023170,
New Zealand,NZL,2007,401439330,
New Zealand,NZL,2008,446488670,
New Zealand,NZL,2009,434998600,
New Zealand,NZL,2010,405990270,
New Zealand,NZL,2011,446264450,
New Zealand,NZL,2012,462159650,
New Zealand,NZL,2013,449960500,
New Zealand,NZL,2014,481034560,
New Zealand,NZL,2015,497592130,
New Zealand,NZL,2016,495016900,
New Zealand,NZL,2017,472984860,
New Zealand,NZL,2018,592048450,
New Zealand,NZL,2019,605899300,
New Zealand,NZL,2020,574706100,
New Zealand,NZL,2021,661989300,
New Zealand,NZL,2022,525590530,
New Zealand,NZL,2023,763909950,
New Zealand,NZL,2024,769680000,
Non-DAC countries,,1966,2238510600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1970,2637958000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1971,3072669700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1972,3946889200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1973,12108342000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1974,19628737000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1975,24752169000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1976,22324560000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1977,18316840000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1978,24394504000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1979,21074452000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1980,25784846000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1981,22584203000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1982,15395730000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1983,11936388000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1984,11416789000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1985,9393538000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1986,9852234000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1987,6767100000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1988,3636388900,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1989,3409636400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1990,11965324000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1991,5906019300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1992,2559499800,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1993,2378237700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1994,2061420700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1995,1439963600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1996,1712310900,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1997,2090574200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1998,2435125200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1999,1687296600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2000,1643786000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2001,1486155900,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2002,5062796300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2003,5019144700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2004,4059004400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2005,3498384600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2006,5072018400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2007,5889552000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2008,8513459000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2009,6221130000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2010,6479216600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2011,8482565600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2012,5414667000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2013,15616633000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2014,24396806000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2015,12347689000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2016,16929866000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2017,18148082000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2018,22401171000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2019,18966376000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2020,18148231000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2021,20852408000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2022,19340503000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2023,16911584000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2024,16457512000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Nordic Development Fund,,1994,34634960,
Nordic Development Fund,,1995,62367916,
Nordic Development Fund,,1996,96175290,
Nordic Development Fund,,1997,68352696,
Nordic Development Fund,,1998,66780516,
Nordic Development Fund,,1999,55489630,
Nordic Development Fund,,2000,57512556,
Nordic Development Fund,,2001,51130796,
Nordic Development Fund,,2002,50537524,
Nordic Development Fund,,2003,71869480,
Nordic Development Fund,,2004,89137880,
Nordic Development Fund,,2005,77750490,
Nordic Development Fund,,2006,81289784,
Nordic Development Fund,,2007,75353520,
Nordic Development Fund,,2008,96468220,
Nordic Development Fund,,2009,70313410,
Nordic Development Fund,,2010,54282668,
Nordic Development Fund,,2011,53541770,
Nordic Development Fund,,2012,39809690,
Nordic Development Fund,,2013,29560698,
Nordic Development Fund,,2014,27364434,
Nordic Development Fund,,2015,13717512,
Nordic Development Fund,,2016,16702295,
Nordic Development Fund,,2017,19263880,
Nordic Development Fund,,2018,5504758,
Nordic Development Fund,,2019,-3864709,
Nordic Development Fund,,2020,23790050,
Nordic Development Fund,,2021,5131165,
Nordic Development Fund,,2022,1058901,
Nordic Development Fund,,2023,12393164,
Nordic Development Fund,,2024,14860398,
North American Development Bank,,2020,117646,
North American Development Bank,,2021,953251,
North American Development Bank,,2022,837407,
North American Development Bank,,2023,242000,
Norway,NOR,1960,74349304,
Norway,NOR,1961,94835470,
Norway,NOR,1962,97111670,
Norway,NOR,1963,127586480,
Norway,NOR,1964,118277080,
Norway,NOR,1965,133211780,
Norway,NOR,1966,158620060,
Norway,NOR,1967,158985820,
Norway,NOR,1968,278784420,
Norway,NOR,1969,297535840,
Norway,NOR,1970,328618140,
Norway,NOR,1971,350496500,
Norway,NOR,1972,465253660,
Norway,NOR,1973,510939230,
Norway,NOR,1974,669481660,
Norway,NOR,1975,813689700,
Norway,NOR,1976,936076800,
Norway,NOR,1977,1143750800,
Norway,NOR,1978,1274773400,
Norway,NOR,1979,1410291000,
Norway,NOR,1980,1375583100,
Norway,NOR,1981,1361174400,
Norway,NOR,1982,1658817700,
Norway,NOR,1983,1829913500,
Norway,NOR,1984,1784444300,
Norway,NOR,1985,1899021700,
Norway,NOR,1986,2281499600,
Norway,NOR,1987,2163596300,
Norway,NOR,1988,2207668200,
Norway,NOR,1989,2062985300,
Norway,NOR,1990,2365806800,
Norway,NOR,1991,2343793400,
Norway,NOR,1992,2443963400,
Norway,NOR,1993,2173114000,
Norway,NOR,1994,2426424000,
Norway,NOR,1995,2314663700,
Norway,NOR,1996,2383612700,
Norway,NOR,1997,2529902300,
Norway,NOR,1998,2749898200,
Norway,NOR,1999,2762527000,
Norway,NOR,2000,2492824800,
Norway,NOR,2001,2668833800,
Norway,NOR,2002,3032567300,
Norway,NOR,2003,3149457000,
Norway,NOR,2004,3046577700,
Norway,NOR,2005,3402371300,
Norway,NOR,2006,3285312800,
Norway,NOR,2007,3691122200,
Norway,NOR,2008,3488213000,
Norway,NOR,2009,4120331500,
Norway,NOR,2010,4010200800,
Norway,NOR,2011,3791966700,
Norway,NOR,2012,3804530700,
Norway,NOR,2013,4403645000,
Norway,NOR,2014,4291062000,
Norway,NOR,2015,4751698400,
Norway,NOR,2016,5150437000,
Norway,NOR,2017,4588609000,
Norway,NOR,2018,4363910700,
Norway,NOR,2019,4790857000,
Norway,NOR,2020,5132906500,
Norway,NOR,2021,4340417000,
Norway,NOR,2022,4176711400,
Norway,NOR,2023,5292930000,
Norway,NOR,2024,5054289000,
Norwegian Postcode Lottery,,2018,499005,
Norwegian Postcode Lottery,,2019,2264710,
Norwegian Postcode Lottery,,2020,6836178,
Norwegian Postcode Lottery,,2021,8588435,
Norwegian Postcode Lottery,,2022,8680958,
Norwegian Postcode Lottery,,2023,11004309,
Norwegian Postcode Lottery,,2024,8713323,
OPEC Fund for International Development,,1977,582243650,
OPEC Fund for International Development,,1978,265418540,
OPEC Fund for International Development,,1979,242701820,
OPEC Fund for International Development,,1980,362246980,
OPEC Fund for International Development,,1981,659895740,
OPEC Fund for International Development,,1982,714012400,
OPEC Fund for International Development,,1983,483644450,
OPEC Fund for International Development,,1984,171966420,
OPEC Fund for International Development,,1985,122228056,
OPEC Fund for International Development,,1986,37063828,
OPEC Fund for International Development,,1987,-62391730,
OPEC Fund for International Development,,1988,-64585810,
OPEC Fund for International Development,,1989,-69234220,
OPEC Fund for International Development,,1990,-61142980,
OPEC Fund for International Development,,1991,-28656106,
OPEC Fund for International Development,,1992,-26458098,
OPEC Fund for International Development,,1993,-65240516,
OPEC Fund for International Development,,1994,-52865384,
OPEC Fund for International Development,,1995,-28079560,
OPEC Fund for International Development,,1996,-49496580,
OPEC Fund for International Development,,1997,-53962656,
OPEC Fund for International Development,,1998,-11370022,
OPEC Fund for International Development,,1999,11083455,
OPEC Fund for International Development,,2000,26992318,
OPEC Fund for International Development,,2001,78217860,
OPEC Fund for International Development,,2002,131317370,
OPEC Fund for International Development,,2003,78525330,
OPEC Fund for International Development,,2004,116910880,
OPEC Fund for International Development,,2005,72809250,
OPEC Fund for International Development,,2006,175691200,
OPEC Fund for International Development,,2007,228655900,
OPEC Fund for International Development,,2008,207675400,
OPEC Fund for International Development,,2009,186197060,
OPEC Fund for International Development,,2010,174660930,
OPEC Fund for International Development,,2011,143914770,
OPEC Fund for International Development,,2012,156069900,
OPEC Fund for International Development,,2013,221673700,
OPEC Fund for International Development,,2014,271110050,
OPEC Fund for International Development,,2015,195808820,
OPEC Fund for International Development,,2016,274170370,
OPEC Fund for International Development,,2017,307493660,
OPEC Fund for International Development,,2018,279506800,
OPEC Fund for International Development,,2019,-132322936,
OPEC Fund for International Development,,2020,15953964,
OPEC Fund for International Development,,2021,176530430,
OPEC Fund for International Development,,2022,450946430,
OPEC Fund for International Development,,2023,476035840,
OPEC Fund for International Development,,2024,715900860,
OSCE,,2010,163470320,
OSCE,,2011,155340160,
OSCE,,2012,142216060,
OSCE,,2013,139731900,
OSCE,,2014,135848660,
OSCE,,2015,132430530,
OSCE,,2016,130857740,
OSCE,,2017,124144850,
OSCE,,2018,126543930,
OSCE,,2019,123849190,
OSCE,,2020,76466670,
OSCE,,2021,117853840,
OSCE,,2022,107396880,
OSCE,,2023,103418020,
OSCE,,2024,102501110,
Oak Foundation,,2017,128296920,
Oak Foundation,,2018,240063600,
Oak Foundation,,2019,157617420,
Oak Foundation,,2020,170872130,
Oak Foundation,,2021,165771250,
Oak Foundation,,2022,267970670,
Oak Foundation,,2023,130117400,
Oak Foundation,,2024,149136160,
Omidyar Network Fund,,2017,69827740,
Omidyar Network Fund,,2018,63070588,
Omidyar Network Fund,,2019,69306750,
Omidyar Network Fund,,2020,34210640,
Omidyar Network Fund,,2021,28881786,
Omidyar Network Fund,,2022,8947165,
Open Society Foundations,,2016,253834130,
Open Society Foundations,,2017,277341020,
Open Society Foundations,,2018,312286880,
Open Society Foundations,,2019,310422430,
Open Society Foundations,,2020,395384130,
Open Society Foundations,,2021,478573120,
Open Society Foundations,,2022,414146270,
Open Society Foundations,,2023,590280700,
Other multilateral organizations,,1974,30221514,
Other multilateral organizations,,1975,162569020,
Other multilateral organizations,,1976,256469330,
Other multilateral organizations,,1977,921425150,
Other multilateral organizations,,1978,929717800,
Other multilateral organizations,,1979,648513540,
Other multilateral organizations,,1980,637373500,
Other multilateral organizations,,1981,964063600,
Other multilateral organizations,,1982,958986100,
Other multilateral organizations,,1983,727957440,
Other multilateral organizations,,1984,318603170,
Other multilateral organizations,,1985,257495220,
Other multilateral organizations,,1986,262918770,
Other multilateral organizations,,1987,100318740,
Other multilateral organizations,,1988,73366370,
Other multilateral organizations,,1989,194679470,
Other multilateral organizations,,1990,61303460,
Other multilateral organizations,,1991,211248300,
Other multilateral organizations,,1992,475698500,
Other multilateral organizations,,1993,436980770,
Other multilateral organizations,,1994,549431600,
Other multilateral organizations,,1995,199643490,
Other multilateral organizations,,1996,263706640,
Other multilateral organizations,,1997,265141090,
Other multilateral organizations,,1998,518044200,
Other multilateral organizations,,1999,492624030,
Other multilateral organizations,,2000,632911170,
Other multilateral organizations,,2001,877263900,
Other multilateral organizations,,2002,895768200,
Other multilateral organizations,,2003,1086314500,
Other multilateral organizations,,2004,1634462000,
Other multilateral organizations,,2005,2149445400,
Other multilateral organizations,,2006,2530807000,
Other multilateral organizations,,2007,3953641200,
Other multilateral organizations,,2008,4874615300,
Other multilateral organizations,,2009,4528582000,
Other multilateral organizations,,2010,5140630000,
Other multilateral organizations,,2011,4989510700,
Other multilateral organizations,,2012,6086759400,
Other multilateral organizations,,2013,7594894300,
Other multilateral organizations,,2014,6646681600,
Other multilateral organizations,,2015,7651199000,
Other multilateral organizations,,2016,7291139000,
Other multilateral organizations,,2017,8177609700,
Other multilateral organizations,,2018,6884751000,
Other multilateral organizations,,2019,7297877000,
Other multilateral organizations,,2020,8824642000,
Other multilateral organizations,,2021,8830531000,
Other multilateral organizations,,2022,9365933000,
Other multilateral organizations,,2023,8957817000,
Other multilateral organizations,,2024,8897768000,
Other multilaterals not specified,,1960,958778900,
Other multilaterals not specified,,1961,1290708100,
Other multilaterals not specified,,1962,1344805800,
Other multilaterals not specified,,1963,1643981600,
Other multilaterals not specified,,1964,1687663500,
Other multilaterals not specified,,1965,1478683100,
Other multilaterals not specified,,1966,1847160300,
Other multilaterals not specified,,1967,1676426000,
Other multilaterals not specified,,1970,3764893,
